Galaxy Number,Name,RA H, RA M, RA S,Dec,Arcmin, Arcsec, LambdaH,LambdaK
82,NGC 4929,13,0,20,28,18,48,4053.487652,4017.780232
83,NGC 4931,13,0,36.6,28,18,2,4045.586349,4009.923189
84,NGC 4944,13,1,25.9,28,27,13,4061.75699,4025.697392
85,NGC 4952,13,2,36,29,24,0,4046.836321,4010.849015
86,NGC 4957,13,2,48.6,27,50,12,4057.898229,4021.499871
87,NGC 4961,13,3,24,28,0,0,4002.936626,3966.913024
88,NGC 4966,13,3,54,29,20,0,4061.779914,4025.293092
89,NGC 4983,13,6,0,28,35,0,4056.126263,4020.251237
90,1306 2827,13,6,30,28,27,0,4046.870391,4011.100348
91,NGC 5000,13,7,24,29,10,0,4043.076597,4007.289744
92,NGC 5004,13,8,42,29,54,0,4062.90328,4027.123902
93,1309 3146,13,9,18,31,46,0,4061.189471,4025.616106
94,NGC 5032,13,11,0,28,4,0,4053.278626,4017.864639
95,NGC 5041,13,12,12,30,58,0,4067.11292,4031.056776
